Course Title,Provider,Type,Course URL,Ratings,No of Reviews,Professional Certified,Skill Set,Duration
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
Microsoft Python Development,Microsoft,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/microsoft-python-developer,N/A,N/A,Yes,N/A,at 8 hours a week
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Python for Cybersecurity,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/pythonforcybersecurity,N/A,N/A,Yes,N/A,4 weeks to complete
Learn Python,Scrimba,SPECIALIZATION,https://www.coursera.org/specializations/learn-python,N/A,N/A,Yes,N/A,4 weeks to complete
Python 3 Programming,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python-3-programming,N/A,N/A,Yes,N/A,at 10 hours a week
Introduction to Scripting in Python,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/introduction-scripting-in-python,N/A,N/A,Yes,N/A,4 weeks to complete
Programming in Python: A Hands-on Introduction,Codio,SPECIALIZATION,https://www.coursera.org/specializations/hands-on-python,N/A,N/A,Yes,N/A,4 weeks to complete
Python Programming Essentials Training,Simplilearn,COURSE,https://www.coursera.org/learn/python-programming-essentials-training,N/A,N/A,Yes,N/A,7 hours to complete
Python Scripting,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/python-scripting,N/A,N/A,Yes,N/A,2 hours
Python Fundamentals,Corporate Finance Institute,COURSE,https://www.coursera.org/learn/python-fundamentals,N/A,N/A,Yes,N/A,5 hours to complete
Web Development with Python,Microsoft,COURSE,https://www.coursera.org/learn/microsoft-web-development-with-python,N/A,N/A,Yes,N/A,2 weeks to complete
Introduction to Programming with Python and Java,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/programming-python-java,N/A,N/A,Yes,N/A,at 10 hours a week
"Python Mastery: Core Concepts, Data Structures & OOP",EDUCBA,SPECIALIZATION,https://www.coursera.org/specializations/python-mastery-core-concepts-data-structures-oop,N/A,N/A,Yes,N/A,4 weeks to complete
Python Scripting Training,EDUCBA,COURSE,https://www.coursera.org/learn/python-scripting-training,N/A,N/A,Yes,N/A,4 hours to complete
Python: A Guided Journey from Introduction to Application,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/python-a-guided-journey-from-introduction-to-application,N/A,N/A,Yes,N/A,4 weeks to complete
"Mastering Python Programming: Apply, Analyze, and Build",EDUCBA,COURSE,https://www.coursera.org/learn/mastering-python-programming-apply-analyze-and-build,N/A,N/A,Yes,N/A,1 week to complete
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Advanced Python Scripting for Cybersecurity,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/advanced-python-scripting-for-cybersecurity,N/A,N/A,Yes,N/A,4 weeks to complete
"Integrating Python for Web Systems, Testing, and Packaging",EDUCBA,COURSE,https://www.coursera.org/learn/integrating-python-for-web-systems-testing-and-packaging,N/A,N/A,Yes,N/A,6 hours to complete
Developing and Deploying Web Applications with Python,EDUCBA,COURSE,https://www.coursera.org/learn/developing-and-deploying-web-applications-with-python,N/A,N/A,Yes,N/A,7 hours to complete
Python for Security,Packt,COURSE,https://www.coursera.org/learn/packt-python-for-security-rtap9,N/A,N/A,Yes,N/A,9 hours to complete
Python Fundamentals for Designers,University of Michigan,COURSE,https://www.coursera.org/learn/python-fundamentals-for-designers,N/A,N/A,Yes,N/A,3 weeks to complete
Python Pyramid - Advanced,EDUCBA,COURSE,https://www.coursera.org/learn/python-pyramid-advanced,N/A,N/A,Yes,N/A,1 week to complete
Introduction to Python for Researchers,Imperial College London,COURSE,https://www.coursera.org/learn/introduction-to-python-for-researchers,N/A,N/A,Yes,N/A,3 weeks to complete
Learn Python: 3,Scrimba,COURSE,https://www.coursera.org/learn/learn-python-3,N/A,N/A,Yes,N/A,2 hours to complete
Dive Deep into Python,Board Infinity,COURSE,https://www.coursera.org/learn/dive-deep-into-python,N/A,N/A,Yes,N/A,3 weeks to complete
Project Development in Python,Microsoft,COURSE,https://www.coursera.org/learn/microsoft-devops-agile-practices-in-python-development,N/A,N/A,Yes,N/A,2 weeks to complete
BiteSize Python: Object Oriented Programming,University of Colorado Boulder,COURSE,https://www.coursera.org/learn/bitesize-python-for-intermediate-learners-oop,N/A,N/A,Yes,N/A,2 weeks to complete
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Basic Programming in Python I,Northeastern University,COURSE,https://www.coursera.org/learn/basic-programming-in-python-i,N/A,N/A,Yes,N/A,2 weeks to complete
Object-Oriented Programming and GUI with Python,Arizona State University,COURSE,https://www.coursera.org/learn/object-oriented-programming-and-gui-with-python,N/A,N/A,Yes,N/A,1 week to complete
Learn Python: 2,Scrimba,COURSE,https://www.coursera.org/learn/learn-python-2,N/A,N/A,Yes,N/A,1 hour to complete
Python Basics: Create a Guessing Number Game from Scratch,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-basics-guess-the-number,N/A,N/A,Yes,N/A,"Learn, practice, and apply job-ready skills in less than 2 hours"
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Big Ideas in Programming: Expressing Yourself with Python,University of Michigan,COURSE,https://www.coursera.org/learn/bigideasinpython,N/A,N/A,Yes,N/A,2 weeks to complete
Basic Programming in Python II,Northeastern University,COURSE,https://www.coursera.org/learn/basic-programming-in-python-ii,N/A,N/A,Yes,N/A,1 week to complete
Python Ø¨ÙÙÙ Ø¨ÙØ§ÙØ§Øª,University of Michigan,COURSE,https://www.coursera.org/learn/python-data-ar,N/A,N/A,Yes,N/A,2 weeks to complete
BiteSize Python for Absolute Beginners: Essentials,University of Colorado Boulder,COURSE,https://www.coursera.org/learn/bitesize-python-for-absolute-beginners-essentials,N/A,N/A,Yes,N/A,1 week to complete
Hands-on Python for Networking Professionals,Packt,COURSE,https://www.coursera.org/learn/packt-hands-on-python-for-networking-professionals-j2nhp,N/A,N/A,Yes,N/A,4 hours to complete
Mastering Python Sequences and Strings,EDUCBA,COURSE,https://www.coursera.org/learn/mastering-python-sequences-and-strings,N/A,N/A,Yes,N/A,7 hours to complete
Ø§ÙØ¨Ø±ÙØ¬Ø© ÙÙ ÙØºØ© Python,Meta,COURSE,https://www.coursera.org/learn/programming-in-python-ar,N/A,N/A,Yes,N/A,4 weeks to complete
Python for Data Analysis and Automation,Packt,COURSE,https://www.coursera.org/learn/packt-python-for-data-analysis-and-automation-bpydw,N/A,N/A,Yes,N/A,1 week to complete
Python Ø§Ø³ØªØ®Ø¯Ø§Ù ÙÙØ§Ø¹Ø¯ Ø§ÙØ¨ÙØ§ÙØ§Øª ÙØ¹,University of Michigan,COURSE,https://www.coursera.org/learn/python-databases-ar,N/A,N/A,Yes,N/A,1 week to complete
Data Structures Using Python - An Introduction,Packt,COURSE,https://www.coursera.org/learn/packt-data-structures-using-python-2024-aae1w,N/A,N/A,Yes,N/A,1 week to complete
Ø£Ø³Ø§Ø³ÙØ§Øª python: Ø¨Ø±ÙØ¬ ÙØ¹Ø¨Ø© ØªØ®ÙÙÙ Ø§ÙØ±ÙÙ ÙÙ Ø§ÙØµÙØ±,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-basics-guess-the-number-arabic,N/A,N/A,Yes,N/A,"Learn, practice, and apply job-ready skills in less than 2 hours"
Python for Serverless Applications and Automation on AWS,Amazon Web Services,COURSE,https://www.coursera.org/learn/aws-python-serverless,N/A,N/A,Yes,N/A,9 hours to complete
Object-Oriented Programming in Python,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/object-oriented-programming-in-python,N/A,N/A,Yes,N/A,2 hours
Advanced Python Development Techniques,Microsoft,COURSE,https://www.coursera.org/learn/microsoft-advanced-python-development-techniques,N/A,N/A,Yes,N/A,2 weeks to complete
"ProgramaciÃ³n con Python, nivel bÃ¡sico",Universidad Nacional de Colombia,COURSE,https://www.coursera.org/learn/programacion-con-python-basico,N/A,N/A,Yes,N/A,4 weeks to complete
Statistics with Python,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/statistics-with-python,N/A,N/A,Yes,N/A,4 weeks to complete
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Applied Data Science with Python,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/data-science-python,N/A,N/A,Yes,N/A,at 10 hours a week
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-automation,N/A,N/A,Yes,N/A,at 10 hours a week
Python for Data Analytics,DeepLearning.AI,COURSE,https://www.coursera.org/learn/python-for-data-analytics,N/A,N/A,Yes,N/A,5 weeks at 10 hours a week
Clean and analyze social media usage data with Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/analyze-social-media-python,N/A,N/A,Yes,N/A,8 hours
Python for Beginners: Variables and Strings,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-for-beginners-variables-and-strings,N/A,N/A,Yes,N/A,2 hours
Data Science Fundamentals with Python and SQL,IBM,SPECIALIZATION,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,N/A,N/A,Yes,N/A,2 months at 10 hours a week
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Python for Finance: Investment Fundamentals & Data Analytics,Packt,COURSE,https://www.coursera.org/learn/packt-python-for-finance-investment-fundamentals-and-data-analytics-zafvf,N/A,N/A,Yes,N/A,2 weeks to complete
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,https://www.coursera.org/specializations/investment-management-python-machine-learning,N/A,N/A,Yes,N/A,at 10 hours a week
Selenium Python Automation Testing and Frameworks,Packt,SPECIALIZATION,https://www.coursera.org/specializations/packt-selenium-python-automation-testing-from-scratch-and-frameworks,N/A,N/A,Yes,N/A,4 weeks to complete
Perform exploratory data analysis on retail data with Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/perform-exploratory-data-analysis-on-retail-data-with-python,N/A,N/A,Yes,N/A,8 hours
AI Agents and Agentic AI in Python: Powered by Generative AI,Vanderbilt University,SPECIALIZATION,https://www.coursera.org/specializations/ai-agents-python,N/A,N/A,Yes,N/A,4 weeks to complete
Setup Python,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/setup-python,N/A,N/A,Yes,N/A,2 hours
Python Generators,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/python-generators,N/A,N/A,Yes,N/A,1 hour
Python Pyramid - Beginners,EDUCBA,COURSE,https://www.coursera.org/learn/python-pyramid-beginners,N/A,N/A,Yes,N/A,1 week to complete
Decryption with Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/decryption-with-python,N/A,N/A,Yes,N/A,1.25 hours
Python Decorator Functions,Duke University,GUIDED PROJECT,https://www.coursera.org/projects/python-decorator-functions,N/A,N/A,Yes,N/A,1 hour
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Shiny for Python Ultimate - Web Development with Python,Packt,COURSE,https://www.coursera.org/learn/packt-shiny-for-python-ultimate-web-development-with-python-86fsq,N/A,N/A,Yes,N/A,6 hours to complete
Python Case Study - Cryptography,EDUCBA,COURSE,https://www.coursera.org/learn/python-case-study-cryptography,N/A,N/A,Yes,N/A,8 hours to complete
Python Scripting for DevOps,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/python-scripting-devops,N/A,N/A,Yes,N/A,4 weeks to complete
Applied Python Data Engineering,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/python-data-engineering,N/A,N/A,Yes,N/A,at 10 hours a week
Python Scripting for DevOps,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-scripting-for-devops,N/A,N/A,Yes,N/A,2 hours
Data Analytics with Python,Simplilearn,COURSE,https://www.coursera.org/learn/data-analytics-with-python,N/A,N/A,Yes,N/A,4 hours to complete
Python for Everybody,University of Michigan,SPECIALIZATION,https://www.coursera.org/specializations/python,N/A,N/A,Yes,N/A,2 months at 10 hours a week
IBM Data Analyst,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-analyst,N/A,N/A,Yes,N/A,4 months at 10 hours a week
IBM AI Developer,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,N/A,N/A,Yes,N/A,6 months at 4 hours a week
Exception Handling in Python,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/exception-handling-in-python,N/A,N/A,Yes,N/A,1 hour 15 minutes
Data Visualization with Python,Duke University,COURSE,https://www.coursera.org/learn/data-visualization-python,N/A,N/A,Yes,N/A,9 hours to complete
Data Mining in Python,University of Michigan,COURSE,https://www.coursera.org/learn/data-mining-in-python,N/A,N/A,Yes,N/A,5 weeks to complete
Estruturas de dados Python,University of Michigan,COURSE,https://www.coursera.org/learn/python-data-pt,N/A,N/A,Yes,N/A,2 weeks to complete
Select Topics in Python,Codio,SPECIALIZATION,https://www.coursera.org/specializations/codio-select-topics-python,N/A,N/A,Yes,N/A,4 weeks to complete
Go for Python Developers,Codio,COURSE,https://www.coursera.org/learn/codio-go-golang-for-python-developers,N/A,N/A,Yes,N/A,1 week to complete
Python and Statistics Foundations,Edureka,COURSE,https://www.coursera.org/learn/python-and-statistics-foundations,N/A,N/A,Yes,N/A,1 week to complete
Data Analysis in Python,Codio,COURSE,https://www.coursera.org/learn/codio-data-analysis-in-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python GUI Development with PyQt,EDUCBA,SPECIALIZATION,https://www.coursera.org/specializations/python-gui-development-with-pyqt,N/A,N/A,Yes,N/A,4 weeks to complete
Mastering Recommendation Systems with Python,EDUCBA,SPECIALIZATION,https://www.coursera.org/specializations/mastering-recommendation-systems-with-python,N/A,N/A,Yes,N/A,4 weeks to complete
Data Visualization Fundamentals in Python,University of Pittsburgh,COURSE,https://www.coursera.org/learn/data-visualization-fundamentals-in-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python Case Study - Sentiment Analysis,EDUCBA,COURSE,https://www.coursera.org/learn/python-case-study-sentiment-analysis,N/A,N/A,Yes,N/A,2 hours to complete
Dataflow: Qwik Start - Python,Google Cloud,PROJECT,https://www.coursera.org/projects/googlecloud-dataflow-qwik-start-python-cwldm,N/A,N/A,Yes,N/A,"Learn, practice, and apply job-ready skills in less than 2 hours"
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,https://www.coursera.org/specializations/python-espanol,N/A,N/A,Yes,N/A,4 weeks to complete
BiteSize Python: Data Visualization,University of Colorado Boulder,COURSE,https://www.coursera.org/learn/bitesize-python-for-intermediate-learners-data-visualization,N/A,N/A,Yes,N/A,2 weeks to complete
Predictive Modeling with Python,Edureka,COURSE,https://www.coursera.org/learn/predictive-modeling-with-python,N/A,N/A,Yes,N/A,2 weeks to complete
Python for Beginners: Data Structures,Coursera Project Network,GUIDED PROJECT,https://www.coursera.org/projects/python-for-beginners-data-structures,N/A,N/A,Yes,N/A,2 hours
