Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
Google Data Analytics,Google,"Data Storytelling, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Rmarkdown, Interactive Data Visualization, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, Stakeholder Communications, Data Processing, Interviewing Skills, Applicant Tracking Systems",4.8,174K reviews,Beginner Â,3 - 6 Months
Google Project Management:,Google,"Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Stakeholder Communications, Milestones (Project Management), Quality Assessment, Team Management, Agile Methodology, Project Documentation, Change Management, Interviewing Skills, Applicant Tracking Systems",4.8,134K reviews,Beginner Â,3 - 6 Months
Google Cybersecurity,Google,"Threat Modeling, Network Security, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Cyber Threat Intelligence, Threat Management, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Vulnerability Assessments, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",4.8,57K reviews,Beginner Â,3 - 6 Months
Google Digital Marketing & E-commerce,Google,"Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Relationship Management, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",4.8,43K reviews,Beginner Â,3 - 6 Months
Google IT Support,Google,"Computer Networking, Package and Software Management, Network Troubleshooting, Systems Administration, Cloud Infrastructure, IT Infrastructure, Information Systems Security, TCP/IP, Network Security, File Systems, Microsoft Windows, Computer Security, Network Architecture, Application Security, Desktop Support, Computer Hardware, Technical Support, Interviewing Skills, Applicant Tracking Systems, Professional Development",4.8,206K reviews,Beginner Â,3 - 6 Months
Google UX Design,Google,"Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Cross Platform Development, Data Ethics, Usability, Interviewing Skills, Applicant Tracking Systems",4.8,93K reviews,Beginner Â,3 - 6 Months
IBM Generative AI Engineering,IBM,"Exploratory Data Analysis, Prompt Engineering, Data Wrangling, Large Language Modeling, Generative AI, Unsupervised Learning, PyTorch (Machine Learning Library), Restful API, ChatGPT, Keras (Neural Network Library), Data Transformation, Supervised Learning, Flask (Web Framework), Data Analysis, Data Cleansing, Data Manipulation, Deep Learning, Jupyter, Regression Analysis, Data Import/Export",4.6,92K reviews,Beginner Â,3 - 6 Months
IBM Data Analyst,IBM,"Exploratory Data Analysis, Data Storytelling, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, SQL, Generative AI, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Jupyter, Big Data, IBM Cognos Analytics, Excel Formulas, Python Programming, Professional Networking, Microsoft Excel",4.6,95K reviews,Beginner Â,3 - 6 Months
Google Advanced Data Analytics,Google,"Data Storytelling, Data Visualization, Data Ethics, Exploratory Data Analysis, Sampling (Statistics), Data Presentation, Data Visualization Software, Feature Engineering, Regression Analysis, Descriptive Statistics, Statistical Hypothesis Testing, Advanced Analytics, Data Analysis, Tableau Software, Data Science, Statistical Analysis, Machine Learning, Object Oriented Programming (OOP), Interviewing Skills, Python Programming",4.7,8.2K reviews,Advanced Â,3 - 6 Months
IBM Data Science,IBM,"Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Data Mining, Matplotlib, Generative AI, Professional Networking",4.6,146K reviews,Beginner Â,3 - 6 Months
IBM AI Developer,IBM,"Prompt Engineering, Software Development Life Cycle, Large Language Modeling, Software Architecture, Generative AI, Responsive Web Design, Restful API, ChatGPT, Flask (Web Framework), Software Design, Cascading Style Sheets (CSS), Jupyter, Scrum (Software Development), Application Deployment, Software Engineering, Software Design Patterns, Python Programming, Engineering Software, Machine Learning, Data Science",4.6,74K reviews,Beginner Â,3 - 6 Months
Google IT Automation with Python,Google,"Git (Version Control System), GitHub, Version Control, Cloud Services, Debugging, Puppet (Configuration Management Tool), Infrastructure as Code (IaC), Bash (Scripting Language), CI/CD, Cloud Computing, Technical Communication, Unit Testing, Web Services, Configuration Management, Scripting, Automation, Python Programming, Interviewing Skills, Applicant Tracking Systems, Programming Principles",4.8,50K reviews,Advanced Â,3 - 6 Months
Google Business Intelligence,Google,"Data Modeling, Stakeholder Engagement, Database Design, Dashboard, Business Intelligence, Extract, Transform, Load, Tableau Software, Data Warehousing, Stakeholder Communications, Data Pipelines, Interactive Data Visualization, Data Integrity, Data Visualization, Interviewing Skills, Applicant Tracking Systems, Business Process, Business Analysis, Professional Development, Data Analysis, SQL",4.8,4.5K reviews,Advanced Â,3 - 6 Months
IBM AI Product Manager,IBM,"Prompt Engineering, Generative AI, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Product Roadmaps, ChatGPT, Product Planning, Commercialization, Artificial Intelligence, Product Strategy, Project Management Life Cycle, OpenAI, Stakeholder Engagement, Stakeholder Management, Competitive Analysis, Product Testing, Business Development",4.7,30K reviews,Beginner Â,3 - 6 Months
IBM Full Stack Software Developer,IBM,"Prompt Engineering, Istio, Node.JS, Software Development Life Cycle, Software Architecture, Cloud Computing Architecture, Server Side, Application Deployment, React Redux, Kubernetes, Cloud Services, Responsive Web Design, Restful API, Django (Web Framework), Object-Relational Mapping, Git (Version Control System), Full-Stack Web Development, Cloud Computing, Jupyter, Engineering Software",4.6,57K reviews,Beginner Â,3 - 6 Months
Microsoft Power BI Data Analyst,Microsoft,"Power BI, Microsoft Excel, Data Analysis, Data Visualization, Data Storage, Data Collection, Data Quality, Business Intelligence, Timelines, Microsoft Power Platform, Advanced Analytics, Database Design, Statistical Reporting, Statistical Visualization, Analytical Skills, Data Integration, Business Reporting, Data Storage Technologies, SQL, Data Manipulation",4.6,8.1K reviews,Beginner Â,3 - 6 Months
IBM DevOps and Software Engineering,IBM,"User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Continuous Integration, Software Development Life Cycle, Software Architecture, Linux Commands, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, Restful API, Git (Version Control System), DevOps, Jupyter, Grafana, Software Engineering, Application Development",4.6,62K reviews,Beginner Â,3 - 6 Months
IBM Data Analytics with Excel and R,IBM,"Data Storytelling, Interactive Data Visualization, Data Visualization Software, Data Visualization, Shiny (R Package), Data Wrangling, Exploratory Data Analysis, Relational Databases, Big Data, Ggplot2, Database Design, Data Analysis, IBM Cognos Analytics, Data Presentation, Data Mining, Dashboard, Excel Formulas, Data Manipulation, Web Scraping, Microsoft Excel",4.7,30K reviews,Beginner Â,3 - 6 Months
IBM Data Engineering,IBM,"NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Apache Spark, Database Administration, Data Store, Jupyter, Generative AI, Professional Networking, Python Programming, Data Analysis, Data Science",4.6,60K reviews,Beginner Â,3 - 6 Months
IBM Back-End Development,IBM,"Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Software Architecture, Linux Commands, Application Deployment, NoSQL, Kubernetes, Bash (Scripting Language), MongoDB, Restful API, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Jupyter, Grafana, Microservices, Python Programming",4.6,50K reviews,Beginner Â,3 - 6 Months
IBM Relational Database Administrator,IBM,"Data Engineering, Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, Database Administration, MySQL, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Data Store, Jupyter, Generative AI, Data Security",4.6,59K reviews,Intermediate Â,3 - 6 Months
IBM Data Management,IBM,"Dashboard, Data Storytelling, Data Warehousing, SQL, Data Visualization, Data Security, Data Migration, Database Design, Data Governance, MySQL, Descriptive Statistics, Extract, Transform, Load, Data Store, Data Management, Relational Databases, Databases, Exploratory Data Analysis, Data Architecture, Excel Formulas, Business Intelligence",4.7,17K reviews,Beginner Â,3 - 6 Months
IBM AI Engineering,IBM,"Prompt Engineering, Large Language Modeling, PyTorch (Machine Learning Library), Unsupervised Learning, Generative AI, Keras (Neural Network Library), Supervised Learning, Deep Learning, Reinforcement Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Generative AI Agents, Natural Language Processing, Tensorflow, Artificial Neural Networks, OpenAI, Machine Learning, Python Programming, Data Science",4.6,21K reviews,Intermediate Â,3 - 6 Months
IBM Business Analyst,IBM,"Data Storytelling, Risk Mitigation, Business Analysis, Business Process Modeling, Risk Analysis, Project Scoping, Process Optimization, Data Visualization, Requirements Management, Prompt Engineering, Risk Management, Business Requirements, Stakeholder Management, Work Breakdown Structure, Digital Transformation, Stakeholder Engagement, Excel Formulas, Microsoft Excel, Business Analytics, Process Analysis",4.7,13K reviews,Beginner Â,3 - 6 Months
IBM Business Intelligence (BI) Analyst,IBM,"Dashboard, Data Storytelling, Data Visualization, Database Design, MySQL, Presentations, Descriptive Statistics, Extract, Transform, Load, Business Intelligence, Data Visualization Software, IBM DB2, Tableau Software, Relational Databases, Star Schema, Interactive Data Visualization, IBM Cognos Analytics, Microsoft SQL Servers, Data-Driven Decision-Making, Excel Formulas, Microsoft Excel",4.7,15K reviews,Beginner Â,3 - 6 Months
Meta Social Media Marketing,Meta,"Social Media Management, Paid media, Social Media, Social Media Marketing, Marketing Analytics, Target Audience, Social Media Strategy, Social Media Campaigns, Content Creation, Instagram, Advertising Campaigns, Marketing Effectiveness, Advertising, Content Performance Analysis, Marketing, Key Performance Indicators (KPIs), Goal Setting, Presentations, Digital Marketing, Brand Management",4.8,22K reviews,Beginner Â,3 - 6 Months
Generative AI Leader,Google Cloud,"Prompt Engineering, Generative AI Agents, Generative AI, Google Cloud Platform, Google Workspace, Productivity Software, Cloud Solutions, Workflow Management, Large Language Modeling, Strategic Leadership, Business Strategies, Data Governance, Artificial Intelligence, Cloud Infrastructure, Information Privacy, Organizational Strategy, Enterprise Security, Cloud Computing, Innovation, Collaboration",4.7,303 reviews,Beginner Â,3 - 6 Months
IBM RAG and Agentic AI,IBM,"Prompt Engineering, Agentic systems, Generative AI, Generative AI Agents, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Software Design, Data Governance, User Interface (UI), Application Development, Large Language Modeling, Semantic Web, Database Systems, Data Storage Technologies, Databases, NoSQL, Full-Stack Web Development, Collaborative Software, Flask (Web Framework), Software Development",4.6,183 reviews,Advanced Â,3 - 6 Months
Meta Front-End Developer,Meta,"Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript, Cascading Style Sheets (CSS)",4.7,23K reviews,Beginner Â,3 - 6 Months
IBM Full-Stack JavaScript Developer,IBM,"Istio, Node.JS, Software Development Life Cycle, Software Architecture, Server Side, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, Kubernetes, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Cloud Applications, Ajax, Javascript, Azure DevOps, Engineering Software",4.6,8.1K reviews,Beginner Â,3 - 6 Months
IBM Product Owner,IBM,"User Story, Sprint Retrospectives, Backlogs, Generative AI, Agile Product Development, Agile Software Development, Scrum (Software Development), Stakeholder Communications, Agile Methodology, Kanban Principles, Product Roadmaps, Virtual Teams, Information Technology, Agile Project Management, Computer Hardware, Stakeholder Management, Sprint Planning, OpenAI, Product Management, Market Intelligence",4.7,6K reviews,Beginner Â,3 - 6 Months
IBM JavaScript Backend,IBM,"Istio, Open Web Application Security Project (OWASP), Node.JS, Containerization, Software Development Life Cycle, Software Architecture, Server Side, Application Deployment, Cloud-Native Computing, Kubernetes, Responsive Web Design, NoSQL, OpenShift, Restful API, Git (Version Control System), Ajax, Grafana, Javascript, Azure DevOps, Engineering Software",4.6,7.8K reviews,Beginner Â,3 - 6 Months
IBM iOS and Android Mobile App Developer,IBM,"React Native, Prompt Engineering, Software Development Life Cycle, Flutter (Software), Software Architecture, Swift Programming, Apple Xcode, Mobile Development, Android Studio, Android Development, User Centered Design, Apple iOS, React Redux, Responsive Web Design, Git (Version Control System), GitHub, React.js, Software Design, Android (Operating System), AI Personalization",4.6,7K reviews,Beginner Â,3 - 6 Months
IBM IT Project Manager,IBM,"User Story, Stakeholder Engagement, Software Development Life Cycle, Software Architecture, Project Management Life Cycle, Resource Management, Peer Review, Agile Software Development, Scrum (Software Development), Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Project Management, Information Technology, Risk Management, Sprint Retrospectives, Interviewing Skills, Leadership, Communication",4.7,9.3K reviews,Beginner Â,3 - 6 Months
IBM Java Developer,IBM,"Prompt Engineering, Cloud-Native Computing, Software Development Life Cycle, Software Architecture, Hibernate (Java), Database Design, Responsive Web Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Object Oriented Programming (OOP), Microservices, CI/CD, Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design",4.6,6.2K reviews,Beginner Â,3 - 6 Months
IBM Front-End Developer,IBM,"Bootstrap (Front-End Framework), Software Development Life Cycle, Software Architecture, User Centered Design, Cloud-Native Computing, React Redux, Responsive Web Design, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, React.js, Agile Methodology, Software Design, Cascading Style Sheets (CSS), Front-End Web Development, HTML and CSS, Engineering Software",4.6,7.1K reviews,Beginner Â,3 - 6 Months
Intuit Academy Bookkeeping,Intuit,"Reconciliation, Financial Statements, Financial Statement Analysis, Inventory Accounting, Payroll, Bookkeeping, QuickBooks (Accounting Software), Payroll Administration, Inventory Control, Payroll Processing, Income Statement, Balance Sheet, Depreciation, Fixed Asset, Payroll Tax, Property Accounting, Accounting Software, Financial Analysis, Sales Tax, Financial Accounting",4.6,7.7K reviews,Beginner Â,3 - 6 Months
IBM and ISC2 Cybersecurity Specialist,Multiple educators,"Peripheral Devices, Network Security, Incident Response, Cloud Computing Architecture, Penetration Testing, Computer Security Incident Management, Cloud Services, Business Continuity, Disaster Recovery, Security Controls, Configuration Management, Governance, Cloud Security, Cloud Technologies, Cybersecurity, Data Storage, Programming Principles, Application Security, Information Technology, Cryptography",4.7,14K reviews,Beginner Â,3 - 6 Months
Microsoft AI Product Manager,Microsoft,"Competitive Analysis, Market Research, User Story, Product Roadmaps, Competitive Intelligence, Usability, Persona Development, Product Development, Market Analysis, New Product Development, Product Management, Design Thinking, User Interface (UI) Design, Market Opportunities, Business Research, Product Lifecycle Management, Quality Assurance and Control, Product Quality (QA/QC), Product Strategy, Data Analysis",4.7,169 reviews,Beginner Â,3 - 6 Months
IBM Product Manager,IBM,"User Story, Usability Testing, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Agile Software Development, Scrum (Software Development), Product Roadmaps, Agile Methodology, Kanban Principles, Backlogs, Product Planning, Sprint Retrospectives, Agile Project Management, Product Strategy, Product Testing, Project Management Life Cycle, Leadership",4.8,3.8K reviews,Beginner Â,3 - 6 Months
IBM IT Scrum Master,IBM,"User Story, Software Development Life Cycle, Software Architecture, Sprint Retrospectives, Agile Software Development, Kanban Principles, DevOps, Backlogs, Software Design, Scrum (Software Development), Information Technology, Agile Project Management, Software Engineering, Computer Hardware, Software Design Patterns, Agile Methodology, Sprint Planning, Leadership, Risk Management, Communication",4.8,10K reviews,Beginner Â,3 - 6 Months
IBM Cybersecurity Analyst,IBM,"Cyber Threat Hunting, Incident Response, IT Service Management, Identity and Access Management, Cloud Computing, Information Technology Infrastructure Library, Endpoint Security, Malware Protection, Penetration Testing, Linux, Computer Security Incident Management, Database Management, Network Security, Networking Hardware, TCP/IP, Intrusion Detection and Prevention, Cybersecurity, Cyber Threat Intelligence, Interviewing Skills, Cyber Security Assessment",4.6,26K reviews,Beginner Â,3 - 6 Months
Arizona State University TESOL,Arizona State University,"Oral Comprehension, Learning Management Systems, Education Software and Technology, Language Competency, Pedagogy, Literacy, Learning Strategies, Instructional Strategies, Enthusiasm, Motivational Skills, Oral Expression, Teaching, Learning Styles, Technology Strategies, Grammar, Language Learning, English Language, Constructive Feedback, Design Elements And Principles, Self-Awareness",4.9,21K reviews,Beginner Â,3 - 6 Months
Adobe Graphic Designer,Adobe,"Adobe Illustrator, Adobe Photoshop, Logo Design, Digital Design, Generative AI, Graphic Design, User Interface and User Experience (UI/UX) Design, Visual Design, File Management, Process Design, Design Reviews, Prompt Engineering, Image Analysis, Presentations, Client Services, Content Creation, Artificial Intelligence, Version Control, Branding, Storytelling",4.7,1.4K reviews,Beginner Â,3 - 6 Months
Adobe Content Creator,Adobe,"Content Creation, Typography, Logo Design, Digital Design, Generative AI, Social Media, Graphic Design, Social Media Management, User Interface and User Experience (UI/UX) Design, Creative Design, Intellectual Property, Adobe Photoshop, Visual Design, Content Marketing, Prompt Engineering, Content Strategy, Infographics, Storytelling, Color Theory, Branding",4.7,1.4K reviews,Beginner Â,3 - 6 Months
Adobe Marketing Specialist,Adobe,"Promotional Strategies, Social Media Content, Digital Marketing, Cross-Channel Marketing, Logo Design, Digital Design, Content Marketing, Creative Design, Target Audience, Generative AI, Visual Design, Marketing Strategies, Campaign Management, Content Creation, Social Media Marketing, Graphic Design, Data Ethics, Content Strategy, Advertising, Market Research",4.7,1.4K reviews,Beginner Â,3 - 6 Months
IBM Systems Analyst,IBM,"Test Planning, Data Storytelling, Business Analysis, Business Process Modeling, Process Optimization, Data Visualization, Requirements Management, Business Requirements, Systems Design, Stakeholder Management, Systems Analysis, Database Design, Process Analysis, Stakeholder Engagement, Behavior-Driven Development, Information Technology, Business Systems Analysis, Computer Hardware, Agile Methodology, Database Management",4.7,4.6K reviews,Beginner Â,3 - 6 Months
IBM Data Architecture,IBM,"NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Data Security, Linux Commands, Data Migration, Database Design, Data Governance, MySQL, Database Administration, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Data Store, Data Architecture",4.6,6.9K reviews,Beginner Â,3 - 6 Months
HRCI Human Resource Associate,HRCI,"Talent Acquisition, Training and Development, Compensation and Benefits, Training Programs, Recruitment, Employee Training, Full Cycle Recruitment, Job Analysis, Employee Performance Management, Compensation Management, Performance Appraisal, Job Evaluation, Developing Training Materials, Compensation Strategy, Performance Management, Human Resource Policies, Employee Relations, Occupational Safety And Health, Business Continuity Planning, Risk Management",4.8,2.7K reviews,Beginner Â,3 - 6 Months
DeepLearning.AI Data Engineering,Multiple educators,"Apache Airflow, Data Modeling, Data Pipelines, Data Storage, Data Storage Technologies, Data Architecture, Requirements Analysis, Data Processing, Data Warehousing, Query Languages, Apache Hadoop, Extract, Transform, Load, Data Lakes, Amazon Web Services, Apache Spark, Database Systems, Feature Engineering, Data Integration, AWS Kinesis, Data Management",4.7,495 reviews,Intermediate Â,3 - 6 Months
DeepLearning.AI Data Analytics,DeepLearning.AI,"Data Storytelling, Web Scraping, Google Sheets, Data Visualization, Data Presentation, Spreadsheet Software, Large Language Modeling, Tableau Software, Data Literacy, Dashboard, LinkedIn, Pandas (Python Package), Time Series Analysis and Forecasting, Probability & Statistics, Extract, Transform, Load, Statistical Analysis, Statistics, Data Analysis, Data Validation, Descriptive Statistics",4.7,168 reviews,Beginner Â,3 - 6 Months
